"1","猪肉","肉片;肉末;大肉;生猪;豚肉;牛肉;米猪肉",,
"2","排骨",,NULL,
"3","五花肉","肋条肉;三层肉;方肉;夹心肉;软五花",NULL,
"4","火腿","火肉;熏蹄;贡腿",NULL,
"5","里脊","里脊肉;猪里脊肉",NULL,
"6","猪蹄","猪蹄子;猪手;猪脚;猪爪;爪尖",NULL,
"7","猪肚","肚子",NULL,
"8","猪肝","吹肝",NULL,
"9","肥肠","猪大肠;猪肠;大肠",NULL,
"10","猪腰","猪腰子;腰花;猪肾",NULL,
"11","香肠","腊肠;猪灌肠;南肠",NULL,
"12","猪骨",,NULL,
"13","瘦肉","猪瘦肉;瘦猪肉",NULL,
"14","肉馅","肉末",NULL,
"15","猪肘","肘子;蹄花",NULL,
"16","肥肉","赘肉",NULL,
"17","肥瘦猪肉",,NULL,
"18","猪耳朵","猪耳丽蚌;牛脚板",NULL,
"19","后臀尖","猪后臀尖",NULL,
"20","猪皮","猪肉皮;肉皮",NULL,
"21","猪心",,NULL,
"22","猪血","血豆腐;猪红;液体肉;血花",NULL,
"23","猪肺",,NULL,
"24","猪蹄筋",,NULL,
"25","牛排","牛扒;牛肉眼","西冷牛排;牛排套餐",
"26","牛肉","牛腩;雪花肉",NULL,
"27","肥牛",,NULL,
"28","牛百叶","百叶;豆腐片","豆腐皮",
"29","牛蹄筋","牛筋",NULL,
"30","牛肚","毛肚;牛胃",NULL,
"31","牛里脊","牛肉眼;牛柳",NULL,
"32","牛尾",,NULL,
"33","牛心",,NULL,
"34","羊肉",,NULL,
"35","羊排",,NULL,
"36","羊后腿",,NULL,
"37","羊里脊",,NULL,
"38","羊肝",,NULL,
"39","羊蝎子","羊脊髓",NULL,
"40","羊腰",,NULL,
"41","羊肚",,NULL,
"42","羊骨",,NULL,
"43","羊腿",,NULL,
"44","鸡肉",,"油腻食物",
"45","鸡胸",,"佝偻病胸",
"46","鸡腿","鸡大腿;鸡腿肉;鸡大腿肉",NULL,
"47","鸡翅","鸡翼;鸡翅膀;凤翅",NULL,
"48","鸡爪","鸡爪子;凤爪;鸡脚;鸡掌",NULL,
"49","鸡胗","鸡肫",NULL,
"50","火鸡","吐绶鸡",NULL,
"51","鸡心",,NULL,
"52","鸡肝",,NULL,
"53","仔鸡",,NULL,
"54","乌鸡","乌骨鸡;竹丝鸡;武山鸡;药鸡;黑琴鸡;树鸡;泰和鸡",NULL,
"55","鸭肉","鹜肉",NULL,
"56","鸭腿","鸭子",NULL,
"57","鸭血","液体肉",NULL,
"58","鸭翅","鸡翅尖",NULL,
"59","鸭胗","鸭肫",NULL,
"60","鸭肝",,NULL,
"61","鸭脖",,NULL,
"62","鸭肠",,NULL,
"63","鸭掌","鸭脚",NULL,
"64","鸭心",,NULL,
"65","鹅肉",,NULL,
"66","鹅肝",,NULL,
"67","牛蛙","牛蛙塘",NULL,
"68","兔肉","兔子肉","保健肉;百味肉",
"69","驴肉","漠骊肉",NULL,
"70","田鸡","青蛙",NULL,
"71","培根","烟肉",NULL,
"72","腊肉","腌肉;腊肠;腊味;土家腊肉;边城腊肉;酱油肉;烟熏肉",NULL,
"73","肉松","肉绒",NULL,
"74","咸肉","腌肉",NULL,
"75","午餐肉",,NULL,
"76","叉烧肉","叉烧",NULL,
"77","熏肉",,NULL,
"78","苹果",,"apple;iphone;苹果公司;水果",
"79","香蕉","芭蕉;牙蕉","笨香蕉;蕉果",
"80","梨","蜜父;雪梨;果宗;鸭梨;白梨;黄梨","玉乳;快果;深绿山龙眼",
"81","芒果","望果;檬果","蜜",
"82","菠萝","凤梨;风梨;露兜子","黄梨;菠萝酵素;菠萝蜜;番梨",
"83","草莓","野草莓","草莓夫人;红莓",
"84","杏","杏子;山杏仁",NULL,
"85","猕猴桃","奇异果;藤梨;猕猴梨;红肉猕猴桃;毛木果;毛梨桃;红心果;果中之王","阳桃;毛桃;羊桃;猴枣子;木子;毛利狗;猴仔桃;白毛桃;毛梨子",
"86","柚子","文旦;伏柚;气柑",NULL,
"87","西瓜","夏瓜;寒瓜;水瓜;曦瓜","主要农作物",
"88","木瓜","番木瓜;皱皮木瓜;木冬瓜;乳瓜;木瓜海棠;万寿果;光皮木瓜;香木瓜;铁脚梨;万寿瓜;木梨","酸木瓜树",
"89","火龙果","红龙果;仙蜜果;青龙果;吉祥果;情人果;仙人果;玉龙果",NULL,
"90","荔枝","丹荔","荔枝村;离枝",
"91","山楂","红果;山里红;胭脂果;山楂果;仙果;铁山楂;赤枣子;山楂红;长白山山里红;酸梅子",NULL,
"92","樱桃","车厘子;含桃;荆桃;五彩大樱桃;崖蜜;莺桃;朱樱;彩蒙山大樱桃;麦樱;果实;表桃;梅桃;乐桃;蜡樱",NULL,
"93","柿子","柿",NULL,
"94","石榴","安石榴;甘石榴;海石榴;楉榴;金罂;丹若",NULL,
"95","柠檬","洋柠檬;柠果;益母果;檬子;黎檬子;药果;黎檬","lemon",
"96","枣","红枣;大枣;美枣;中国枣","野茨菰",
"97","橙子","野橙子","橘子",
"98","桔子","橘子;柑橘",NULL,
"99","杨梅","圣生梅;白蒂梅;杨梅的果实;杨咪泡","杨梅树;",
"100","无花果","奶浆果","密果",
"101","桂圆","龙眼;龙眼肉;龙目",NULL,
"102","黄桃","锦绣黄桃;黄金桃",NULL,
"103","桃","毛桃;扁桃;蜜桃","徐蜜桃",
"104","榴莲","榴莲干;麝香猫果",NULL,
"105","金桔","金柑;金枣;羊奶桔;下河金枣;牛奶金柑;寿星桔",NULL,
"106","李子",,"网名李子梨子栗子;杏梅",
"107","黑枣","君迁子;乌枣;檽枣;软枣;猴枣;即成乌枣","大枣",
"108","椰子","椰粟;胥椰","胥余",
"109","甘蔗","竹蔗;薯蔗;糖梗;干蔗;秆蔗;竿蔗;菅蔗",NULL,
"110","百香果","西番莲;鸡蛋果;爱情果",NULL,
"111","酸枣","山枣;野枣;酸枣仁","红枣",
"112","哈密瓜","甜瓜;厚皮甜瓜",NULL,
"113","桑葚","桑果;桑枣;桑泡儿",NULL,
"114","香瓜","甜瓜;雪梨瓜;苹果瓜","梨瓜子",
"115","杨桃","五敛子;阳桃",NULL,
"116","蓝莓","越橘;越桔;蓝浆果;野生蓝莓","柿",
"117","蔓越莓","小红莓;蔓越橘;酸果蔓;提子",NULL,
"118","牛油果","鳄梨;油梨;酪梨;樟梨",NULL,
"119","西梅",,NULL,
"120","槐花","洋槐花;槐米;槐蕊",NULL,
"121","桂花","金桂;木犀;木樨;丹桂;木樨花;岩桂",NULL,
"122","洛神花","玫瑰茄;洛神葵;山茄",NULL,
"123","牡丹花","富贵花;洛阳花",NULL,
"124","芍药花",,NULL,
"125","金银花","双花;忍冬;银花;忍冬花;二宝花;金花;二花;金银忍冬;金藤花;金藤",NULL,
"126","花生","长生果;落花生;盐酥花生;炒花生;长寿果;万寿果","花生漫画",
"127","芝麻","胡麻;脂麻;油麻","松仁",
"128","核桃","胡桃;羌桃;万岁子;核桃树;山核桃;核桃仁;合桃;胡桃肉;长寿果;胡桃仁;楸子",NULL,
"129","杏仁","扁桃;银杏;苦杏仁;甜杏仁;杏扁;白杏",NULL,
"130","莲子","藕实;莲实;莲米;莲蓬;莲蓬子;水芝丹;水芝;水之丹;睡莲子;莲宝",NULL,
"131","腰果","鸡腰果;树花生;果仁;都咸树",NULL,
"132","松子","松仁;松果;松子仁;海松子;开口松子;新罗松子;罗松子;果松子;红松果","长寿果",
"133","栗子","板栗;风栗;大栗;栗果;毛栗;瑰栗;西洋栗",NULL,
"134","枸杞","杞子;枸杞子;枸杞豆;山枸杞;西枸杞","白刺;红耳坠;明目果;红青椒",
"135","榛子","山板栗;棰子;香榛;笨榛子;榛栗;锥栗;尖栗",NULL,
"136","白果","银杏;银杏果;银杏果仁;银杏核;公孙树子;青果;公孙树;长寿果;果子;公孙果;定喘;杏银杏","故名银杏;鸭脚",
"137","瓜子仁",,NULL,
"138","开心果",,NULL,
"139","山楂干",,NULL,
"140","夏威夷果",,NULL,
"141","干枣",,NULL,
"142","桃脯",,NULL,
"143","土豆","洋芋;马铃薯",NULL,
"144","胡萝卜",,NULL,
"145","白萝卜",,NULL,
"146","百合",,NULL,
"147","冬笋",,NULL,
"148","春笋",,NULL,
"149","洋葱","圆葱;葱头",NULL,
"150","青笋",,NULL,
"151","藕","莲藕;莲菜",NULL,
"152","茭白",,NULL,
"153","红薯","山芋;番薯;地瓜",NULL,
"154","紫薯",,NULL,
"155","荸荠","马蹄",NULL,
"156","山药","麻山药;淮山",NULL,
"157","芋头","芋艿;香芋",NULL,
"158","黄瓜","青瓜",NULL,
"159","南瓜",,NULL,
"160","冬瓜",,NULL,
"161","苦瓜","凉瓜",NULL,
"162","丝瓜","菜瓜",NULL,
"163","辣椒","辣子;尖椒",NULL,
"164","青椒","青辣椒;尖椒",NULL,
"165","红椒",,NULL,
"166","茄子",,NULL,
"167","白菜",,NULL,
"168","油菜",,NULL,
"169","韭菜",,NULL,
"170","菠菜",,NULL,
"171","芹菜","香芹",NULL,
"172","圆白菜","洋白菜;卷心菜",NULL,
"173","小白菜",,NULL,
"174","娃娃菜",,NULL,
"175","生菜","莴苣",NULL,
"176","茼蒿","菊花菜",NULL,
"177","芦笋",,NULL,
"178","蕨菜",,NULL,
"179","豆苗",,NULL,
"180","紫甘蓝","紫卷心菜;紫包菜",NULL,
"181","芥蓝",,NULL,
"182","荠菜","地菜",NULL,
"183","香椿",,NULL,
"184","韭黄",,NULL,
"185","牛蒡",,NULL,
"186","橄榄菜",,NULL,
"187","竹笋","笋子",NULL,
"188","青菜",,NULL,
"189","香菜","芫荽",NULL,
"190","青蒜","蒜苗",NULL,
"191","西芹","香芹",NULL,
"192","菜花","花椰菜;花菜",NULL,
"193","海带","昆布",NULL,
"194","紫菜",,NULL,
"195","海苔",,NULL,
"196","香菇","香茹",NULL,
"197","木耳",,NULL,
"198","银耳","白木耳;雪耳",NULL,
"199","金针菇",,NULL,
"200","平菇",,NULL,
"201","草菇",,NULL,
"202","口蘑",,NULL,
"203","茶树菇",,NULL,
"204","猴头菇","猴菇",NULL,
"205","榛蘑",,NULL,
"206","杏鲍菇",,NULL,
"207","鸡腿菇",,NULL,
"208","蟹味菇",,NULL,
"209","冬菇",,NULL,
"210","裙带菜",,NULL,
"211","蘑菇","菌菇",NULL,
"212","双孢菇",,NULL,
"213","竹笋","笋子",NULL,
"214","白玉菇",,NULL,
"215","牛肝菌",,NULL,
"216","黑牛肝菌",,NULL,
"217","黄牛肝菌","黄皮牛肝菌",NULL,
"218","白灵菇",,NULL,
"219","滑子菇",,NULL,
"220","元蘑",,NULL,
"221","鸡枞",,NULL,
"222","石耳",,NULL,
"223","牛肚菌",,NULL,
"224","干巴菌",,NULL,
"225","红蘑",,NULL,
"226","慈菇",,NULL,
"227","罗汉果",,NULL,
"228","川贝","川贝母;贝母",NULL,
"229","首乌","制首乌;何首乌",NULL,
"230","人参","山参;高丽参",NULL,
"231","荷叶","莲叶",NULL,
"232","阿胶","驴胶",NULL,
"233","冬虫夏草","虫草",NULL,
"234","陈皮","橙皮",NULL,
"235","白芷",,NULL,
"236","肉桂","桂皮",NULL,
"237","酸菜",,NULL,
"238","榨菜",,NULL,
"239","辣白菜",,NULL,
"240","泡菜","腌菜",NULL,
"241","酸笋",,NULL,
"242","酸豆角","豇豆角",NULL,
"243","酸豇豆","豆角",NULL,
"244","虾",,NULL,
"245","虾仁",,NULL,
"246","海虾",,NULL,
"247","河虾",,NULL,
"248","北极虾",,NULL,
"249","龙虾","螯虾;大虾",NULL,
"250","明虾",,NULL,
"251","基围虾",,NULL,
"252","小龙虾",,NULL,
"253","皮皮虾","虾虎;濑尿虾",NULL,
"254","海米","虾米",NULL,
"255","虾皮","虾米",NULL,
"256","江虾",,NULL,
"257","对虾","大虾",NULL,
"258","梭子蟹",,NULL,
"259","大闸蟹",,NULL,
"260","河蟹",,NULL,
"261","螃蟹",,NULL,
"262","青蟹",,NULL,
"263","海蟹",,NULL,
"264","帝王蟹",,NULL,
"265","花蟹",,NULL,
"266","沙蟹",,NULL,
"267","海螺",,NULL,
"268","扇贝",,NULL,
"269","鲜贝",,NULL,
"270","干贝","瑶柱",NULL,
"271","蛤蜊",,NULL,
"272","蛏子",,NULL,
"273","生蚝","牡蛎",NULL,
"274","文蛤",,NULL,
"275","鲍鱼",,NULL,
"276","海蚌",,NULL,
"277","香螺",,NULL,
"278","田螺",,NULL,
"279","红螺",,NULL,
"280","贻贝",,NULL,
"281","河蚬",,NULL,
"282","河蚌",,NULL,
"283","赤贝",,NULL,
"284","草鱼",,NULL,
"285","鲫鱼",,NULL,
"286","鲈鱼",,NULL,
"287","鲤鱼",,NULL,
"288","鲶鱼",,NULL,
"289","带鱼","刀鱼",NULL,
"290","三文鱼",,"三文鱼虫",
"291","鳕鱼",,NULL,
"292","黄鱼","黄花鱼",NULL,
"293","鲳鱼","平鱼",NULL,
"294","鳗鱼","鳗鲡",NULL,
"295","龙利鱼",,NULL,
"296","鲅鱼",,NULL,
"297","桂鱼",,NULL,
"298","鱼头",,NULL,
"299","金枪鱼",,NULL,
"300","丁香鱼",,NULL,
"301","鲢鱼","白鲢鱼;白鲢;鲢鳙",NULL,
"302","银鱼",,NULL,
"303","青鱼",,NULL,
"304","秋刀鱼",,NULL,
"305","鲷鱼",,NULL,
"306","比目鱼",,NULL,
"307","多春鱼",,NULL,
"308","多宝鱼",,NULL,
"309","黑鱼","蛇头鱼;乌鳢;乌鱼",NULL,
"310","鳊鱼",,NULL,
"311","鱼片",,NULL,
"312","武昌鱼",,NULL,
"313","罗非鱼",,NULL,
"314","鲮鱼",,NULL,
"315","虹鳟鱼",,NULL,
"316","鲟鱼","中华鲟",NULL,
"317","沙尖鱼",,NULL,
