id,name,other_names,data
1,猪肉,,
2,排骨,,
3,五花肉,,
4,火腿,,
5,里脊,,
6,猪蹄,,
7,猪肚,,
8,猪肝,,
9,肥肠,,
10,猪腰,,
11,香肠,,
12,猪骨,,
13,瘦肉,,
14,肉馅,,
15,猪肘,,
16,肥肉,,
17,肥瘦猪肉,,
18,猪耳朵,,
19,后臀尖,,
20,猪皮,,
21,猪心,,
22,猪血,,
23,猪肺,,
24,猪蹄筋,,
25,牛排,,
26,牛腩,,
27,肥牛,,
28,百叶,,
29,牛蹄筋,,
30,牛肚,,
31,牛里脊,,
32,牛尾,,
33,牛心,,
34,羊肉,,
35,羊排,,
36,羊后腿,,
37,羊里脊,,
38,羊肝,,
39,羊蝎子,,
40,羊腰,,
41,羊肚,,
42,羊骨,,
43,羊腿,,
44,鸡肉,,
45,鸡胸,,
46,鸡腿,,
47,鸡翅,,
48,鸡爪,,
49,鸡胗,,
50,火鸡,,
51,鸡心,,
52,鸡肝,,
53,仔鸡,,
54,乌鸡,,
55,鸭肉,,
56,鸭腿,,
57,鸭血,,
58,鸭翅,,
59,鸭胗,,
60,鸭肝,,
61,鸭脖,,
62,鸭肠,,
63,鸭掌,,
64,鸭心,,
65,鹅肉,,
66,鹅肝,,
67,牛蛙,,
68,兔肉,,
69,驴肉,,
70,田鸡,,
71,培根,,
72,腊肉,,
73,肉松,,
74,咸肉,,
75,午餐肉,,
76,叉烧肉,,
77,熏肉,,
78,苹果,,
79,香蕉,,
80,梨,,
81,芒果,,
82,菠萝,,
83,草莓,,
84,杏,,
85,猕猴桃,,
86,柚子,,
87,西瓜,,
88,木瓜,,
89,火龙果,,
90,荔枝,,
91,山楂,,
92,樱桃,,
93,柿子,,
94,石榴,,
95,柠檬,,
96,枣,,
97,橙子,,
98,桔子,橘子,
99,杨梅,,
100,无花果,,
101,桂圆,,
102,黄桃,,
103,桃,,
104,榴莲,,
105,金桔,,
106,李子,,
107,黑枣,,
108,椰子,,
109,甘蔗,,
110,百香果,,
111,酸枣,,
112,哈密瓜,,
113,桑葚,,
114,香瓜,,
115,杨桃,,
116,蓝莓,,
117,蔓越莓,,
118,牛油果,,
119,西梅,,
